level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	68	64	2311	3421	-1	
3	1	1	1	0	0	68	64	2311	3421	-1	
4	1	1	1	1	0	634	64	164	59	-1	
5	1	1	1	1	1	634	64	164	59	39.592571	lgs
4	1	1	1	2	0	619	69	960	166	-1	
5	1	1	1	2	1	619	97	230	138	53.657856	7)
5	1	1	1	2	2	909	69	670	147	76.830185	CodSoft
4	1	1	1	3	0	647	142	126	85	-1	
5	1	1	1	3	1	647	142	126	85	15.984535	CG
4	1	1	1	4	0	780	246	595	46	-1	
5	1	1	1	4	1	780	246	41	36	44.924484	#
5	1	1	1	4	2	900	257	475	35	72.876724	Code.Create.Succeed
4	1	1	1	5	0	721	606	916	54	-1	
5	1	1	1	5	1	721	606	411	54	96.151794	INTERNSHIP
5	1	1	1	5	2	1156	606	215	54	96.387527	OFFER
5	1	1	1	5	3	1398	606	239	53	96.039360	LETTER
4	1	1	1	6	0	154	878	2043	47	-1	
5	1	1	1	6	1	154	883	96	35	93.062653	Date
5	1	1	1	6	2	270	893	6	24	92.304893	:
5	1	1	1	6	3	293	878	264	47	96.674622	09/07/2024
5	1	1	1	6	4	1787	882	410	36	68.531799	ID:CS11WX326464
4	1	1	1	7	0	154	1059	106	42	-1	
5	1	1	1	7	1	154	1059	106	42	96.494118	Dear,
4	1	1	1	8	0	303	1156	299	37	-1	
5	1	1	1	8	1	303	1156	131	37	96.497314	Utsav
5	1	1	1	8	2	449	1156	153	36	96.953331	Anand
4	1	1	1	9	0	151	1255	2100	51	-1	
5	1	1	1	9	1	151	1262	69	35	96.980461	We
5	1	1	1	9	2	236	1259	131	38	96.778946	would
5	1	1	1	9	3	388	1259	67	38	96.989700	like
5	1	1	1	9	4	472	1264	42	33	96.621071	to
5	1	1	1	9	5	531	1259	272	47	96.659012	congratulate
5	1	1	1	9	6	819	1270	76	36	96.893250	you
5	1	1	1	9	7	913	1270	52	27	96.351791	on
5	1	1	1	9	8	985	1259	116	47	95.864365	being
5	1	1	1	9	9	1117	1259	177	38	96.667404	selected
5	1	1	1	9	10	1311	1259	61	38	96.224983	for
5	1	1	1	9	11	1386	1259	70	38	93.121468	the
5	1	1	1	9	12	1474	1262	17	13	92.939514	“
5	1	1	1	9	13	1509	1260	103	36	96.436821	Data
5	1	1	1	9	14	1629	1259	209	38	95.848068	Science”
5	1	1	1	9	15	1869	1255	144	42	95.848068	virtual
5	1	1	1	9	16	2034	1259	217	47	96.765747	internship
4	1	1	1	10	0	154	1330	1690	47	-1	
